	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0018205	316	47	0.00810266433551261	0.0122433930940297	0.416277658397745
GO:0006163	287	29	0.652935280334169	0.737532437346533	0.816739582321999
GO:0006164	124	8	1	1	0.384126534369279
GO:0045765	211	95	4.32640629045651e-38	1.91459501621699e-37	0.0922505155663336
GO:0006165	57	2	1	1	0.448984156385081
GO:0045766	120	43	1.35250987385542e-13	4.75767995597924e-13	0.246683976340807
GO:0043112	85	25	1.38474064417973e-06	4.03359312563501e-06	0.00169510841413458
GO:0045778	83	38	3.47099133257117e-16	1.55736717194351e-15	0.00630115134339993
GO:0031100	73	28	4.46436328973588e-10	1.6798814890725e-09	0.282410308806469
GO:0018149	56	6	0.606651194520886	0.786508036163962	0.783098351239801
GO:0006140	207	76	7.31678621097912e-24	2.63740502593251e-23	0.0165831652046381
GO:0043123	176	61	6.04629831249231e-18	2.06276830180639e-17	0.0274943951521928
GO:0045786	464	139	4.10724693657861e-32	1.21143603025143e-31	0.0159563277997298
GO:0043122	230	100	1.92094964610618e-38	8.25418311597379e-38	0.00686286178646693
GO:0045787	329	92	2.90611599833809e-19	8.03555388642137e-19	0.222442187629972
GO:0043124	51	38	1.26960996103585e-26	9.07072255680642e-26	0.0154392123331783
GO:0045785	378	156	3.09029488364708e-56	1.25987948129008e-55	0.000494415601736443
GO:0021766	57	19	3.54410578058897e-06	1.16918683978584e-05	0.442871106920634
GO:0055117	66	31	8.25924422343994e-14	3.78079237260991e-13	0.130213683591211
GO:0045727	99	23	0.000207730848751857	0.000483370138481961	0.312972372596478
GO:0045732	251	71	2.09388692775153e-15	5.88282824522591e-15	0.250560344591519
GO:0031145	80	7	0.823117961632735	0.940872484242325	0.469703093310323
GO:0045740	53	17	2.06639650367261e-05	6.51666900465798e-05	0.194625335732368
GO:0045761	69	22	1.38188561030593e-06	4.34316180022952e-06	0.178199066010562
GO:0031123	98	5	1	1	0.488644568929652
GO:0031124	71	5	0.955516947232205	1	0.744957966574589
GO:0031175	158	46	7.02833785131032e-11	2.02881330948492e-10	0.375840643358147
GO:0043154	82	28	9.16626956531255e-09	3.06959151599764e-08	0.28623613740236
GO:0043161	291	47	0.00162221555476615	0.00263738870865377	0.732614749029019
GO:0045926	228	201	3.73800640212232e-168	3.21734011378778e-167	4.76396699866655e-13
GO:0045927	241	90	1.08907802534154e-28	3.98023054793513e-28	0.032203113397037
GO:0021953	82	16	0.0116166765708849	0.0230150540418661	0.383735459073953
GO:0045921	76	40	1.07253329799146e-19	5.51362804656893e-19	0.0111675166931073
GO:0006333	67	11	0.100049147301482	0.172780982240904	0.0455538591103893
GO:0045930	210	60	2.04403985953716e-13	5.78868686824013e-13	0.10666369310613
